Rollno,Name,Year,CGPA,Attendance,Projects,Activities
1,Student_1,1,6.12,77,1,3
1,Student_1,2,6.4,87,1,3
1,Student_1,3,6.63,80,4,4
1,Student_1,4,6.47,83,1,5
2,Student_2,1,6.7,81,2,3
2,Student_2,2,6.9,71,3,3
2,Student_2,3,7.0,75,3,4
2,Student_2,4,7.66,73,4,5
3,Student_3,1,5.96,56,2,2
3,Student_3,2,6.29,66,4,4
3,Student_3,3,6.74,66,3,5
3,Student_3,4,6.43,62,4,6
4,Student_4,1,5.78,69,1,2
4,Student_4,2,6.02,72,1,3
4,Student_4,3,6.48,74,0,2
4,Student_4,4,6.85,70,1,3
5,Student_5,1,5.82,68,3,2
5,Student_5,2,6.19,68,4,2
5,Student_5,3,6.43,66,3,2
5,Student_5,4,6.43,61,5,5
6,Student_6,1,6.38,63,1,1
6,Student_6,2,6.5,56,1,2
6,Student_6,3,6.87,61,2,1
6,Student_6,4,7.03,62,5,2
7,Student_7,1,7.21,66,2,0
7,Student_7,2,7.59,59,1,1
7,Student_7,3,7.95,66,2,3
7,Student_7,4,7.87,65,3,2
8,Student_8,1,6.15,67,2,2
8,Student_8,2,6.26,62,4,2
8,Student_8,3,6.64,67,4,2
8,Student_8,4,7.28,67,4,3
9,Student_9,1,6.45,66,2,2
9,Student_9,2,6.69,68,2,2
9,Student_9,3,7.09,67,4,3
9,Student_9,4,6.81,59,4,2
10,Student_10,1,6.32,86,0,1
10,Student_10,2,6.69,80,1,0
10,Student_10,3,6.66,86,0,3
10,Student_10,4,7.22,78,2,1
11,Student_11,1,7.37,84,3,2
11,Student_11,2,7.56,82,2,2
11,Student_11,3,7.69,84,3,3
11,Student_11,4,8.0,88,4,5
12,Student_12,1,6.73,77,1,1
12,Student_12,2,7.0,79,1,1
12,Student_12,3,7.12,79,2,4
12,Student_12,4,7.72,82,0,1
13,Student_13,1,7.17,72,1,1
13,Student_13,2,7.45,72,2,0
13,Student_13,3,7.6,68,4,2
13,Student_13,4,8.37,72,4,1
